council_id,ons_code,slug,name,type,county,region,principal_authority,source
4271,E04012300,farnhill,Farnhill,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
32419,E04004991,farningham-parish-council,Farningham Parish Council,parish,Kent,South East,Sevenoaks,excel
35757,E04007339,farnley-parish-council,Farnley Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6896,E04007903,farnsfield-parish-council,Farnsfield Parish Council,parish,Nottinghamshire,East Midlands,Newark & Sherwood,excel
5154,E04004501,farringdon-parish-council,Farringdon Parish Council,parish,Hampshire,South East,East Hampshire,excel
34173,E04006825,farthinghoe-parish-council,Farthinghoe Parish Council,parish,Northamptonshire,East Midlands,West Northamptonshire,excel
32556,E04005052,faversham-town-council,Faversham Town Council,town,Kent,South East,Swale,excel
6649,E04007176,fawdington-parish-meeting,Fawdington (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
5305,,fawfieldhead-parish-council-1,Fawfieldhead Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
32420,E04004992,fawkham-parish-council,Fawkham Parish Council,parish,Kent,South East,Sevenoaks,excel
34713,E04008285,fawler-parish-meeting,Fawler Parish Meeting,parish_meeting,Oxfordshire,South East,West Oxfordshire,excel
34175,E04006661,fawsley-parish-meeting,Fawsley Parish Meeting,parish_meeting,Northamptonshire,East Midlands,West Northamptonshire,excel
4900,E04008925,fazeley-town-council,Fazeley Town Council,town,Staffordshire,West Midlands,Staffordshire,excel
35759,E04007340,fearby-parish-council,Fearby Parish Council,parish,,Yorkshire and the Humber,North Yorkshire,excel
5306,,featherstone-and-brinsford-parish-council,Featherstone and Brinsford Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
36501,E04010351,feckenham-parish-council,Feckenham Parish Council,parish,Redditch,West Midlands,Redditch,excel
33240,E04006413,felbrigg-parish-council,Felbrigg Parish Council,parish,Norfolk,East of England,North Norfolk,excel
31719,E04009405,felixstowe-parish-council,Felixstowe Parish Council,parish,Essex,East of England,Essex,excel
4697,E04007341,felliscliffe,Felliscliffe,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
36502,E04011890,felmersham-parish-council,Felmersham Parish Council,parish,Bedford,East of England,Bedford,excel
33241,E04006414,felmingham-parish-council,Felmingham Parish Council,parish,Norfolk,East of England,North Norfolk,excel
35762,E04012978,felpham-parish-council,Felpham Parish Council,parish,,East of England,Arun,excel
5905,E04009197,felsham-parish-council,Felsham Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
4624,E04004129,felsted,Felsted,parish,Essex,East of England,Uttlesford,excel
34309,E04010784,felton-parish-council,Felton Parish Council,parish,Northumberland,North East,Northumberland,excel
33350,E04006310,feltwell-parish-council,Feltwell Parish Council,parish,Norfolk,East of England,West Norfolk,excel
35763,E04001782,fen-ditton-parish-council,Fen Ditton Parish Council,parish,,East of England,South Cambridgeshire,excel
35764,E04001783,fen-drayton-parish-council,Fen Drayton Parish Council,parish,,East of England,South Cambridgeshire,excel
34495,E04008042,fencott-and-murcott-parish-council,Fencott and Murcott Parish Council,parish,Oxfordshire,South East,Cherwell,excel
36692,E04009733,fenny-compton-parish-council,Fenny Compton Parish Council,parish,Warwickshire,West Midlands,Stratford-on-Avon,excel
30101,E04012024,fenstanton-parish-council,Fenstanton Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
7023,E04005984,fenton-parish-meeting,Fenton Parish Meeting,parish_meeting,Lincolnshire,East Midlands,South Kesteven,excel
3849,E04011434,feock-parish-council,Feock Parish Council,parish,Cornwall,South West,Cornwall,excel
31188,E04012463,ferndown-town-town-council,Ferndown Town Town Council,town,Dorset,South West,Dorset,excel
34653,E04008210,fernham-parish-meeting,Fernham Parish Meeting,parish_meeting,Oxfordshire,South East,Vale of White Horse,excel
35766,E04012259,fernhurst-parish-council,Fernhurst Parish Council,parish,Chichester,South East,Chichester,excel
6897,E04007959,fernwood-parish-council,Fernwood Parish Council,parish,Nottinghamshire,East Midlands,Newark & Sherwood,excel
6650,E04007342,ferrensby-parish-meeting,Ferrensby (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
30102,,fibbing-parish-council,Fibbing Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
4418,E04008628,fiddington-parish-council,Fiddington Parish Council,parish,Somerset,South West,Somerset,excel
31189,E04003406,fifehead-magdalen-parish-council,Fifehead Magdalen Parish Council,parish,Dorset,South West,Dorset,excel
31190,E04003407,fifehead-neville-parish-council,Fifehead Neville Parish Council,parish,Dorset,South West,Dorset,excel
5414,E04013458,figheldean-parish-council,Figheldean Parish Council,parish,Wiltshire,South West,Wiltshire,excel
35769,E04006267,filby-parish-council,Filby Parish Council,parish,,Yorkshire and the Humber,Great Yarmouth,excel
6432,,filey,Filey,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33647,E04007672,filey-parish-council,Filey Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34714,E04008287,filkins-and-broughton-poggs-parish-council,Filkins and Broughton Poggs Parish Council,parish,Oxfordshire,South East,West Oxfordshire,excel
36808,E04009640,fillongley-parish-council,Fillongley Parish Council,parish,Warwickshire,West Midlands,Warwickshire,excel
33351,E04006311,fincham-parish-council,Fincham Parish Council,parish,Norfolk,East of England,West Norfolk,excel
35771,E04001231,finchampstead-parish-council,Finchampstead Parish Council,parish,,Yorkshire and the Humber,Wokingham,excel
37015,E04009863,findon-parish-council,Findon Parish Council,parish,West Sussex,South East,Arun,excel
34061,E04013136,finedon-town-council,Finedon Town Council,town,Northamptonshire,East Midlands,North Northamptonshire,excel
5054,E04009198,finningham-parish-council,Finningham Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
6953,E04000077,finningley-parish-council,Finningley Parish Council,parish,South Yorkshire,Yorkshire and the Humber,Doncaster,excel
37246,E04010280,finstall-parish-council,Finstall Parish Council,parish,Worcestershire,West Midlands,Bromsgrove,excel
34715,E04012213,finstock-parish-council,Finstock Parish Council,parish,Oxfordshire,South East,West Oxfordshire,excel
6651,E04007178,firby-parish-meeting,Firby (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6224,E04003772,firle-parish-council,Firle Parish Council,parish,East Sussex,South East,East Sussex,excel
5415,E04011715,firsdown-parish-council,Firsdown Parish Council,parish,Wiltshire,South West,Wiltshire,excel
35774,E04008926,fisherwick-parish-council,Fisherwick Parish Council,parish,,West Midlands,Lichfield,excel
6798,E04000078,fishlake-parish-council,Fishlake Parish Council,parish,South Yorkshire,Yorkshire and the Humber,Doncaster,excel
35775,E04005575,fishtoft-parish-council,Fishtoft Parish Council,parish,Boston,East Midlands,Boston,excel
35776,E04005986,fiskerton-parish-council,Fiskerton Parish Council,parish,,East Midlands,West Lindsey,excel
36503,E04009903,fittleworth-parish-council,Fittleworth Parish Council,parish,West Sussex,South East,Chichester,excel
4419,E04008700,fivehead-parish-council,Fivehead Parish Council,parish,Somerset,South West,Somerset,excel
36504,E04010392,fladbury-parish-council,Fladbury Parish Council,parish,,Yorkshire and the Humber,Wychavon,excel
4579,E04002752,flagg-parish-council,Flagg Parish Council,parish,Derbyshire,East Midlands,Derbyshire Dales,excel
6977,E04007082,flasby-with-winterburn-parish-meeting,Flasby with Winterburn (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6744,E04007975,flawborough-parish-meeting,Flawborough Parish Meeting,parish_meeting,Nottinghamshire,East Midlands,Rushcliffe,excel
36505,E04012093,flax-bourton-parish-council,Flax Bourton Parish Council,parish,North Somerset,South West,North Somerset,excel
4272,E04007573,flaxton,Flaxton,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35780,E04013142,fleckney-parish-council,Fleckney Parish Council,parish,,Yorkshire and the Humber,Harborough,excel
36506,E04010589,fleetwood-parish-council,Fleetwood Parish Council,parish,Lancashire,North West,Wyre,excel
35782,E04006268,fleggburgh-parish-council,Fleggburgh Parish Council,parish,,Yorkshire and the Humber,Great Yarmouth,excel
5355,,flempton-cum-hengrave-parish-council,Flempton cum Hengrave Parish Council,parish,Suffolk,East of England,West Suffolk,excel
35783,E04009307,flempton-parish-council,Flempton Parish Council,parish,,East of England,West Suffolk,excel
4599,E04003840,fletching-parish-council,Fletching Parish Council,parish,East Sussex,South East,East Sussex,excel
6928,E04007976,flintham-parish-council,Flintham Parish Council,parish,Nottinghamshire,East Midlands,Rushcliffe,excel
5957,E04010507,flitch-green,Flitch Green,parish,Essex,East of England,Uttlesford,excel
33352,E04006312,flitcham-with-appleton-parish-council,Flitcham with Appleton Parish Council,parish,Norfolk,East of England,West Norfolk,excel
36507,E04011949,flitton-and-greenfield-parish-council,Flitton and Greenfield Parish Council,parish,Central Bedfordshire,East of England,Central Bedfordshire,excel
36508,E04011950,flitwick-parish-council,Flitwick Parish Council,parish,Central Bedfordshire,East of England,Central Bedfordshire,excel
36509,E04009496,flixton-bungay-wainford-ward-parish-council,Flixton (Bungay & Wainford Ward) Parish Council,parish,East Suffolk,East of England,East Suffolk,excel
5724,E04006544,flordon-parish-council,Flordon Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
34176,E04010513,flore-parish-council,Flore Parish Council,parish,Northamptonshire,East Midlands,West Northamptonshire,excel
6816,E04009199,flowton-parish-meeting,Flowton Parish Meeting,parish_meeting,Suffolk,East of England,Babergh & Mid Suffolk,excel
36510,E04010393,flyford-flavell-parish-council,Flyford Flavell Parish Council,parish,,Yorkshire and the Humber,Wychavon,excel
36811,,foleshill-parish-council,Foleshill Parish Council,parish,Warwickshire,West Midlands,Warwickshire,excel
32547,E04005040,folkestone-town-council,Folkestone Town Council,town,Kent,South East,Folkestone & Hythe,excel
5220,E04007673,folkton,Folkton,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33650,,follifoot-and-plompton-parish-council,Follifoot and Plompton Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35786,E04007345,follifoot-parish-council,Follifoot Parish Council,parish,,Yorkshire and the Humber,North Yorkshire,excel
6784,E04011717,fonthill-bishop-parish-meeting,Fonthill Bishop Parish Meeting,parish_meeting,Wiltshire,South West,Wiltshire,excel
6540,E04011718,fonthill-gifford-parish-council,Fonthill Gifford Parish Council,parish,Wiltshire,South West,Wiltshire,excel
6081,E04002753,foolow-parish-meeting,Foolow (Parish Meeting),parish_meeting,Derbyshire,East Midlands,Derbyshire Dales,excel
6652,E04012519,forcett-parish-meeting,Forcett (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
4721,E04009864,ford-parish-council,Ford Parish Council,parish,West Sussex,South East,Arun,excel
32024,E04012145,fordingbridge-town-council,Fordingbridge Town Council,town,Hampshire,South East,New Forest,excel
3596,E04004874,fordwich-town-council,Fordwich (Town Council),town,Kent,South East,Canterbury,excel
4600,E04003841,forest-row-parish-council,Forest Row Parish Council,parish,East Sussex,South East,East Sussex,excel
35788,E04000038,formby-parish-council,Formby Parish Council,parish,Sefton,North West,Sefton,excel
4210,E04006545,forncett-parish-council,Forncett Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
5356,E04012713,fornham-all-saints-parish-council,Fornham All Saints Parish Council,parish,Suffolk,East of England,West Suffolk,excel
36511,E04012714,fornham-st-genevieve-parish-council,Fornham St. Genevieve Parish Council,parish,,Yorkshire and the Humber,West Suffolk,excel
5357,,fornham-st-martin-cum-st-genevieve-parish-council,Fornham St Martin cum St Genevieve Parish Council,parish,Suffolk,East of England,West Suffolk,excel
4936,E04009041,forsbrook-parish-council,Forsbrook Parish Council,parish,Derbyshire,East Midlands,High Peak,excel
4473,,forsbrook-parish-council-1,Forsbrook Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
31929,E04004401,forthampton-parish-council,Forthampton Parish Council,parish,Gloucestershire,South West,Tewkesbury,excel
5488,E04008995,forton-parish-council,Forton Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
35790,E04005576,fosdyke-parish-council,Fosdyke Parish Council,parish,Boston,East Midlands,Boston,excel
31455,,foston-on-the-wolds-parish-council,Foston On The Wolds Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
5668,E04005905,foston-parish-council,Foston Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
6433,,foston-with-thornton-le-clay,Foston with Thornton le Clay,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33651,,foston-with-thornton-le-clay-parish-council,Foston with Thornton le Clay Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35791,E04005635,fotherby-parish-council,Fotherby Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
30103,E04006724,fotheringhay-parish-council,Fotheringhay Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
4127,E04006111,foulden-parish-council,Foulden Parish Council,parish,Norfolk,East of England,Breckland,excel
35793,E04005220,foulridge-parish-council,Foulridge Parish Council,parish,Pendle,North West,Pendle,excel
5708,E04006218,foulsham-parish-council,Foulsham Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
35794,E04007346,fountains-earth-parish-council,Fountains Earth Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
5416,E04011719,fovant-parish-council,Fovant Parish Council,parish,Wiltshire,South West,Wiltshire,excel
3550,E04011436,fowey-town-council,Fowey Town Council,town,Cornwall,South West,Cornwall,excel
35795,E04001784,fowlmere-parish-council,Fowlmere Parish Council,parish,,Yorkshire and the Humber,South Cambridgeshire,excel
32126,E04000761,fownhope-parish-council,Fownhope Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
35796,E04009406,foxhall-parish-council,Foxhall Parish Council,parish,East Suffolk,East of England,East Suffolk,excel
35797,E04007575,foxholes-parish-council,Foxholes Parish Council,parish,,Yorkshire and the Humber,North Yorkshire,excel
5770,,foxholes-with-butterwick,Foxholes with Butterwick,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35798,E04005423,foxton-parish-council,Foxton Parish Council,parish,Cambridgeshire,East of England,South Cambridgeshire,excel
4474,,fradley-and-streethay-parish-council,Fradley and Streethay Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
36512,E04013320,fradley-parish-council,Fradley Parish Council,parish,,West Midlands,Lichfield,excel
35799,E04008996,fradswell-parish-council,Fradswell Parish Council,parish,,West Midlands,Stafford,excel
4036,E04003842,framfield-parish-council,Framfield Parish Council,parish,East Sussex,South East,East Sussex,excel
4211,E04006546,framingham-earl-parish-council,Framingham Earl Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
6113,E04006547,framingham-pigot-parish-meeting,Framingham Pigot Parish Meeting,parish_meeting,Norfolk,East of England,South Norfolk & Broadland,excel
35800,E04009407,framlingham-parish-council,Framlingham Parish Council,parish,East Suffolk,East of England,East Suffolk,excel
36513,E04012626,frampton-cotterell-parish-council,Frampton Cotterell Parish Council,parish,South Gloucestershire,South West,South Gloucestershire,excel
4523,E04009200,framsden-parish-council,Framsden Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
30584,E04010631,framwellgate-moor-parish-council,Framwellgate Moor Parish Council,parish,County Durham,North East,County Durham,excel
37247,E04010270,frankley-parish-council,Frankley Parish Council,parish,Worcestershire,West Midlands,Bromsgrove,excel
35801,E04009675,frankton-parish-council,Frankton Parish Council,parish,Rugby,West Midlands,Rugby,excel
4037,E04003843,frant-parish-council,Frant Parish Council,parish,Kent,South East,Tunbridge Wells,excel
5358,E04009146,freckenham-parish-council,Freckenham Parish Council,parish,Suffolk,East of England,West Suffolk,excel
35802,E04005164,freckleton-parish-council,Freckleton Parish Council,parish,Fylde,North West,Fylde,excel
35803,E04005525,freeby-parish-council,Freeby Parish Council,parish,Melton,East Midlands,Melton,excel
34716,E04008289,freeland-parish-council,Freeland Parish Council,parish,Oxfordshire,South East,West Oxfordshire,excel
4168,E04006219,freethorpe-parish-council,Freethorpe Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
35804,E04005578,freiston-parish-council,Freiston Parish Council,parish,Boston,East Midlands,Boston,excel
5076,E04003090,fremington-parish-council,Fremington Parish Council,parish,Devon,South West,North Devon,excel
4524,E04009201,fressingfield-parish-council,Fressingfield Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
31880,E04004351,fretherne-with-saul-parish-council,Fretherne-with-Saul Parish Council,parish,Gloucestershire,South West,Stroud,excel
4169,E04006220,frettenham-parish-council,Frettenham Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
35805,E04005987,friesthorpe-parish-council,Friesthorpe Parish Council,parish,West Lindsey,East Midlands,West Lindsey,excel
34654,E04008211,frilford-parish-meeting,Frilford Parish Meeting,parish_meeting,Oxfordshire,South East,Vale of White Horse,excel
34497,E04008044,fringford-parish-council,Fringford Parish Council,parish,Oxfordshire,South East,Cherwell,excel
35806,E04004955,frinsted-parish-council,Frinsted Parish Council,parish,Maidstone,South East,Maidstone,excel
35807,E04005424,frisby-parish-council,Frisby Parish Council,parish,Harborough,East Midlands,Harborough,excel
35809,E04005636,friskney-parish-council,Friskney Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
35811,E04003262,frithelstock-parish-council,Frithelstock Parish Council,parish,Torridge,South West,Torridge,excel
35812,E04005775,frithville-and-westville-parish-council,Frithville and Westville Parish Council,parish,,Yorkshire and the Humber,East Lindsey,excel
32445,E04005121,frittenden-parish-council,Frittenden Parish Council,parish,Kent,South East,Tunbridge Wells,excel
35813,E04006269,fritton-and-st-olaves-parish-council,Fritton and St. Olaves Parish Council,parish,,Yorkshire and the Humber,Great Yarmouth,excel
34498,E04008045,fritwell-parish-council,Fritwell Parish Council,parish,Oxfordshire,South East,Cherwell,excel
31881,E04004352,frocester-parish-council,Frocester Parish Council,parish,Gloucestershire,South West,Stroud,excel
35814,E04011273,frodesley-parish-council,Frodesley Parish Council,parish,,Yorkshire and the Humber,Shropshire,excel
30412,E04012539,frodsham-town-council,Frodsham Town Council,town,Cheshire West and Chester,North West,Cheshire West and Chester,excel
6082,E04002754,froggatt-parish-meeting,Froggatt (Parish Meeting),parish_meeting,Derbyshire,East Midlands,Derbyshire Dales,excel
6331,,frogmore-sherford-parish-council,Frogmore & Sherford Parish Council,parish,Devon,South West,South Hams & West Devon,excel
35815,E04005425,frolesworth-parish-council,Frolesworth Parish Council,parish,Harborough,East Midlands,Harborough,excel
3514,E04008560,frome-town-council,Frome Town Council,town,Somerset,South West,Somerset,excel
31196,E04013377,frome-vauchurch-parish-council,Frome Vauchurch Parish Council,parish,Dorset,South West,Dorset,excel
31456,E04009497,frostenden-parish-council,Frostenden Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
5417,E04011720,froxfield-parish-council,Froxfield Parish Council,parish,Wiltshire,South West,Wiltshire,excel
5155,E04004504,froyle-parish-council,Froyle Parish Council,parish,Hampshire,South East,East Hampshire,excel
5798,,fryston,Fryston,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35817,E04007576,fryton-parish-council,Fryton Parish Council,parish,,Yorkshire and the Humber,North Yorkshire,excel
4114,E04005906,fulbeck-parish-council,Fulbeck Parish Council,parish,Lincolnshire,East Midlands,South Kesteven,excel
35818,E04001786,fulbourn-parish-council,Fulbourn Parish Council,parish,Cambridgeshire,East of England,South Cambridgeshire,excel
36693,E04009734,fulbrook-parish-meeting,Fulbrook Parish Meeting,parish_meeting,Warwickshire,West Midlands,Stratford-on-Avon,excel
5307,E04008997,fulford-parish-council,Fulford Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
35819,E04005637,fulletby-parish-council,Fulletby Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
6204,E04001585,fulmer-parish-council,Fulmer Parish Council,parish,Buckinghamshire,South East,Buckinghamshire,excel
35820,E04006416,fulmodeston-parish-council,Fulmodeston Parish Council,parish,,East of England,North Norfolk,excel
35821,E04005988,fulnetby-parish-council,Fulnetby Parish Council,parish,West Lindsey,East Midlands,West Lindsey,excel
35822,E04005638,fulstow-parish-council,Fulstow Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
36514,E04009904,funtington-parish-council,Funtington Parish Council,parish,Chichester,South East,Chichester,excel
34655,E04012505,fyfield-and-tubney-parish-council,Fyfield and Tubney Parish Council,parish,Oxfordshire,South East,Vale of White Horse,excel
31636,E04004610,fyfield-parish-council,Fyfield Parish Council,parish,Essex,East of England,Epping Forest,excel
4273,E04007674,fylingdales,Fylingdales,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35823,E04005526,gaddesby-parish-council,Gaddesby Parish Council,parish,Melton,East Midlands,Melton,excel
36515,E04010632,gainford-parish-council,Gainford Parish Council,parish,,North East,County Durham,excel
35824,E04006081,gainsborough-parish-council,Gainsborough Parish Council,parish,North Lincolnshire,Yorkshire and the Humber,West Lindsey,excel
4129,E04006114,garboldisham-parish-council,Garboldisham Parish Council,parish,Norfolk,East of England,Breckland,excel
34656,E04008213,garford-parish-meeting,Garford Parish Meeting,parish_meeting,Oxfordshire,South East,Vale of White Horse,excel
6010,E04012301,gargrave,Gargrave,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35827,E04007484,garriston-parish-council,Garriston Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
30836,E04002606,garsdale-parish-council,Garsdale Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
34584,E04008130,garsington-parish-council,Garsington Parish Council,parish,Oxfordshire,South East,South Oxfordshire,excel
35828,E04005327,garstang-parish-council,Garstang Parish Council,parish,Wyre,North West,Wyre,excel
35829,E04005527,garthorpe-parish-council,Garthorpe Parish Council,parish,Melton,East Midlands,Melton,excel
31459,,garton-on-the-wolds-parish-council,Garton On The Wolds Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
31360,E04000398,garton-parish-council,Garton Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
35830,E04006115,garvestone-reymerston-and-thuxton-parish-council,"Garvestone, Reymerston and Thuxton Parish Council",parish,,East of England,Breckland,excel
32128,E04000764,garway-parish-council,Garway Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
35831,E04005989,gate-burton-parish-council,Gate Burton Parish Council,parish,West Lindsey,East Midlands,West Lindsey,excel
4981,,gate-helmsley-and-upper-helmsley,Gate Helmsley and Upper Helmsley,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33658,E04007739,gateforth-parish-council,Gateforth Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
7024,E04006116,gateley-parish-meeting,Gateley Parish Meeting,parish_meeting,Norfolk,East of England,Breckland,excel
6653,E04007180,gatenby-parish-meeting,Gatenby (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35833,E04005639,gautby-parish-council,Gautby Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
4918,E04001485,gawcott-with-lenborough-parish-council,Gawcott-with-Lenborough Parish Council,parish,Buckinghamshire,South East,Buckinghamshire,excel
30286,E04010942,gawsworth-parish-council,Gawsworth Parish Council,parish,Cheshire,North West,Cheshire East,excel
36694,E04013111,gaydon-parish-council,Gaydon Parish Council,parish,Warwickshire,West Midlands,Stratford-on-Avon,excel
6654,E04007485,gayles-parish-meeting,Gayles (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35834,E04005640,gayton-le-marsh-parish-council,Gayton le Marsh Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
35835,E04005641,gayton-le-wold-parish-council,Gayton le Wold Parish Council,parish,East Lindsey,East Midlands,East Lindsey,excel
33355,E04008998,gayton-parish-council,Gayton Parish Council,parish,Norfolk,East of England,West Norfolk,excel
6164,E04009202,gedding-parish-meeting,Gedding Parish Meeting,parish_meeting,Suffolk,East of England,Babergh & Mid Suffolk,excel
35836,E04006773,geddington-parish-council,Geddington Parish Council,parish,,South West,North Northamptonshire,excel
35837,E04009409,gedgrave-parish-council,Gedgrave Parish Council,parish,East Suffolk,East of England,East Suffolk,excel
35839,E04005857,gedney-hill-parish-council,Gedney Hill Parish Council,parish,Lincolnshire,East Midlands,South Holland,excel
35838,E04005856,gedney-parish-council,Gedney Parish Council,parish,Lincolnshire,East Midlands,South Holland,excel
4958,E04006548,geldeston-parish-council,Geldeston Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
5077,E04003091,georgeham-parish-council,Georgeham Parish Council,parish,Devon,South West,North Devon,excel
5108,,germansweek-parish,Germansweek Parish,parish,Devon,South West,South Hams & West Devon,excel
30952,,germansweek-parish-parish-council,Germansweek Parish Parish Council,parish,Devon,South West,South Hams & West Devon,excel
3851,E04011437,germoe-parish-council,Germoe Parish Council,parish,Cornwall,South West,Cornwall,excel
5549,E04011438,gerrans-parish-council,Gerrans Parish Council,parish,Cornwall,South West,Cornwall,excel
3541,E04001586,gerrards-cross-town-council,Gerrards Cross Town Council,town,Buckinghamshire,South East,Buckinghamshire,excel
30727,E04002407,gilcrux-parish-council,Gilcrux Parish Council,parish,Cumbria,North West,Cumberland,excel
6808,E04007579,gillamoor-parish-meeting,Gillamoor (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
5725,E04006549,gillingham-parish-council,Gillingham Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
31197,,gillingham-town-council,Gillingham Town Council,town,Dorset,South West,Dorset,excel
35840,E04005427,gilmorton-parish-council,Gilmorton Parish Council,parish,Harborough,East Midlands,Harborough,excel
6123,E04007181,girsby-parish-meeting,Girsby (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
35842,E04007905,girton-parish-council,Girton Parish Council,parish,,East Midlands,South Cambridgeshire,excel
35844,E04005259,gisburn-forest-parish-council,Gisburn Forest Parish Council,parish,Ribble Valley,North West,Ribble Valley,excel
35843,E04005258,gisburn-parish-council,Gisburn Parish Council,parish,Ribble Valley,North West,Ribble Valley,excel
36516,E04009498,gisleham-parish-council,Gisleham Parish Council,parish,East Suffolk,East of England,East Suffolk,excel
5055,E04009204,gislingham-parish-council,Gislingham Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
4959,E04006550,gissing-parish-council,Gissing Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
5221,,glaisdale,Glaisdale,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33662,E04007675,glaisdale-parish-council,Glaisdale Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34310,E04010786,glanton-parish-council,Glanton Parish Council,parish,Northumberland,North East,Northumberland,excel
3962,E04002703,glapwell-parish-council,Glapwell Parish Council,parish,Derbyshire,East Midlands,Bolsover,excel
30837,E04002532,glassonby-parish-council,Glassonby Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
3524,E04008561,glastonbury-town-council,Glastonbury Town Council,town,Somerset,South West,Somerset,excel
4349,,glazeley-and-middleton-scriven-parish-council,Glazeley and Middleton Scriven Parish Council,parish,Shropshire,West Midlands,Shropshire,excel
35845,E04011274,glazeley-parish-council,Glazeley Parish Council,parish,,West Midlands,Shropshire,excel
31464,,gleadthorpe-parish-council,Gleadthorpe Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,East Riding of Yorkshire,excel
