council_id,ons_code,slug,name,type,county,region,principal_authority,source
4192,E04006507,aldeby-parish-council,Aldeby Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
32318,E04013250,aldenham-parish-council,Aldenham Parish Council,parish,Hertfordshire,East of England,Hertsmere,excel
4855,E04011618,alderbury-parish-council,Alderbury Parish Council,parish,Wiltshire,South West,Wiltshire,excel
30254,E04010892,alderley-edge-parish-council,Alderley Edge Parish Council,parish,Cheshire,North West,Cheshire East,excel
31864,E04004336,alderley-parish-meeting,Alderley Parish Meeting,parish_meeting,Gloucestershire,South West,Stroud,excel
36388,E04011034,aldersey-parish-council,Aldersey Parish Council,parish,Cheshire,North West,Cheshire West and Chester,excel
31916,E04009366,alderton-parish-council,Alderton Parish Council,parish,Gloucestershire,South West,Tewkesbury,excel
30462,E04012566,aldford-and-saighton-parish-council,Aldford and Saighton Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
30385,,aldford-saighton-and-district-parish-council,Aldford Saighton and District Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
6039,E04009065,aldham-parish-council,Aldham Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
30798,E04002584,aldingham-parish-council,Aldingham Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
4072,,aldington-bonnington,Aldington & Bonnington,parish,Kent,South East,Ashford,excel
32463,,aldington-bonnington-parish-council,Aldington & Bonnington Parish Council,parish,Kent,South East,Ashford,excel
32568,E04010356,aldington-parish-council,Aldington Parish Council,parish,Kent,South East,Ashford,excel
5739,,aldwark-area,Aldwark Area,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33525,,aldwark-area-parish-council,Aldwark Area Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
36947,E04001147,aldworth-parish-council,Aldworth Parish Council,parish,West Berkshire,South East,West Berkshire,excel
35320,E04009605,alfold-parish-council,Alfold Parish Council,parish,Surrey,South East,Waverley,excel
32947,E04005590,alford-parish-council,Alford Parish Council,parish,Lincolnshire,East Midlands,East Lindsey,excel
33499,E04000535,alkborough-parish-council,Alkborough Parish Council,parish,North Lincolnshire,Yorkshire and the Humber,North Lincolnshire,excel
32526,E04004900,alkham-parish-council,Alkham Parish Council,parish,Kent,South East,Dover,excel
31865,E04004337,alkington-parish-council,Alkington Parish Council,parish,Gloucestershire,South West,Stroud,excel
5368,E04011619,all-cannings-parish-council,All Cannings Parish Council,parish,Wiltshire,South West,Wiltshire,excel
34265,E04010729,allendale-parish-council,Allendale Parish Council,parish,Northumberland,North East,Northumberland,excel
32084,E04000686,allensmore-parish-council,Allensmore Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
4394,E04008658,aller-parish-council,Aller Parish Council,parish,Somerset,South West,Somerset,excel
33526,,allerston-and-wilton-parish-council,Allerston and Wilton Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33916,E04007544,allerston-parish-council,Allerston Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6618,E04007305,allerton-mauleverer-with-hopperton-parish-meeting,Allerton Mauleverer with Hopperton (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
30683,E04002381,allhallows-parish-council,Allhallows Parish Council,parish,Cumbria,North West,Cumberland,excel
5202,E04005873,allington-parish-council,Allington Parish Council,parish,Lincolnshire,East Midlands,South Kesteven,excel
5369,,allington-parish-council-1,Allington Parish Council,parish,Wiltshire,South West,Wiltshire,excel
30799,,allithwaite-and-cartmel-parish-council,Allithwaite and Cartmel Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
30684,E04002382,allonby-parish-council,Allonby Parish Council,parish,Cumbria,North West,Cumberland,excel
30386,E04011036,allostock-parish-council,Allostock Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
32085,E04000687,almeley-parish-council,Almeley Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
4241,,alne,Alne,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33527,E04007132,alne-parish-council,Alne Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34266,E04010731,alnmouth-parish-council,Alnmouth Parish Council,parish,Northumberland,North East,Northumberland,excel
34267,E04012705,alnwick-parish-council,Alnwick Parish Council,parish,Northumberland,North East,Northumberland,excel
31656,E04003877,alphamstone-parish-council,Alphamstone Parish Council,parish,Essex,East of England,Essex,excel
5043,E04009066,alpheton-parish-council,Alpheton Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
33418,E04006508,alpington-parish-council,Alpington Parish Council,parish,Norfolk,East of England,South Norfolk,excel
6235,,alpington-with-yelverton-parish-council,Alpington with Yelverton Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
30255,E04013174,alpraham-and-calveley-community-council,Alpraham and Calveley Community Council,community,Cheshire,North West,Cheshire East,excel
36389,,alpraham-parish-council,Alpraham Parish Council,parish,,North West,,excel
31657,E04004088,alresford-parish-council,Alresford Parish Council,parish,Essex,East of England,Essex,excel
4462,E04010539,alrewas-parish-council,Alrewas Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
30256,E04013175,alsager-town-council,Alsager Town Council,town,Cheshire,North West,Cheshire East,excel
30800,E04002511,alston-moor-parish-council,Alston Moor Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
4932,E04009022,alstonefield-parish-council,Alstonefield Parish Council,parish,Derbyshire,East Midlands,High Peak,excel
5282,,alstonefield-parish-council-1,Alstonefield Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
3826,E04011400,altarnun-parish-council,Altarnun Parish Council,parish,Cornwall,South West,Cornwall,excel
34122,E04006632,althorp-parish-meeting,Althorp Parish Meeting,parish_meeting,Northamptonshire,East Midlands,West Northamptonshire,excel
5072,E04009023,alton-parish-council,Alton Parish Council,parish,Derbyshire,East Midlands,High Peak,excel
4783,,alton-parish-council-1,Alton Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
5370,,alton-parish-council-2,Alton Parish Council,parish,Wiltshire,South West,Wiltshire,excel
3595,,alton-town-council,Alton Town Council,town,Hampshire,South East,East Hampshire,excel
30387,E04011037,alvanley-parish-council,Alvanley Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
37236,E04010263,alvechurch-parish-council,Alvechurch Parish Council,parish,Worcestershire,West Midlands,Bromsgrove,excel
6774,E04011622,alvediston-parish-meeting,Alvediston Parish Meeting,parish_meeting,Wiltshire,South West,Wiltshire,excel
4344,,alveley-and-romsley-parish-council,Alveley and Romsley Parish Council,parish,Shropshire,West Midlands,Shropshire,excel
34822,E04011205,alveley-parish-council,Alveley Parish Council,parish,Shropshire,West Midlands,Shropshire,excel
7033,,alverton-and-kilvington-parish-meeting,Alverton and Kilvington Parish Meeting,parish_meeting,Nottinghamshire,East Midlands,Newark & Sherwood,excel
35418,E04007877,alverton-parish-council,Alverton Parish Council,parish,,East Midlands,Newark and Sherwood,excel
32949,E04005591,alvingham-parish-council,Alvingham Parish Council,parish,Lincolnshire,East Midlands,East Lindsey,excel
31826,E04004294,alvington-parish-council,Alvington Parish Council,parish,Gloucestershire,South West,Forest of Dean,excel
30090,E04001675,alwalton-parish-council,Alwalton Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
34268,E04010733,alwinton-parish-council,Alwinton Parish Council,parish,Northumberland,North East,Northumberland,excel
32784,E04012760,alwoodley-parish-council,Alwoodley Parish Council,parish,Leeds,Yorkshire and the Humber,Leeds,excel
37017,E04009947,amberley-parish-council,Amberley Parish Council,parish,West Sussex,South East,Horsham,excel
34397,E04013125,amble-by-the-sea-parish-council,Amble by the Sea Parish Council,parish,Northumberland,North East,Northumberland,excel
34269,,amble-parish-council,Amble Parish Council,parish,Northumberland,North East,Northumberland,excel
34473,E04013331,ambrosden-parish-council,Ambrosden Parish Council,parish,Oxfordshire,South East,Cherwell,excel
33500,E04000536,amcotts-parish-council,Amcotts Parish Council,parish,North Lincolnshire,Yorkshire and the Humber,North Lincolnshire,excel
3536,E04001563,amersham-town-council,Amersham Town Council,town,Buckinghamshire,South East,Buckinghamshire,excel
3720,E04011623,amesbury-town-council,Amesbury Town Council,town,Wiltshire,South West,Wiltshire,excel
5209,E04007545,amotherby,Amotherby,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
4242,E04007546,ampleforth,Ampleforth,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
31798,E04013254,ampney-st-mary-parish-meeting,Ampney St Mary Parish Meeting,parish_meeting,Gloucestershire,South West,Cotswold,excel
4944,E04004593,amport-parish-council,Amport Parish Council,parish,Hampshire,South East,Test Valley,excel
30206,E04012803,ampthill-parish-council,Ampthill Parish Council,parish,Central Bedfordshire,East of England,Central Bedfordshire,excel
6200,,ampton-little-livermere-timworth-parish-meeting,"Ampton, Little Livermere & Timworth Parish Meeting",parish_meeting,Suffolk,East of England,West Suffolk,excel
5660,E04005874,ancaster-parish-council,Ancaster Parish Council,parish,Lincolnshire,East Midlands,South Kesteven,excel
34270,E04010735,ancroft-parish-council,Ancroft Parish Council,parish,Northumberland,North East,Northumberland,excel
30388,E04012529,anderton-with-marbury-parish-council,Anderton with Marbury Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
6066,E04012839,andover-town-council,Andover Town Council,town,Hampshire,South East,Test Valley,excel
4784,E04008908,anglesey-parish-council,Anglesey Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
