id,slug,council_name,type,county,district,region,website,data_source,ons_code
ons-E04009784,stoneton-parish-council,Stoneton Parish Council,parish,,,,,ons,E04009784
ons-E04009785,stourton-parish-council,Stourton Parish Council,parish,,,,,ons,E04009785
ons-E04009791,temple-grafton-parish-council,Temple Grafton Parish Council,parish,,,,,ons,E04009791
ons-E04009792,tidmington-parish-council,Tidmington Parish Council,parish,,,,,ons,E04009792
ons-E04009794,tysoe-parish-council,Tysoe Parish Council,parish,,,,,ons,E04009794
ons-E04009797,upper-and-lower-shuckburgh-parish-council,Upper and Lower Shuckburgh Parish Council,parish,,,,,ons,E04009797
ons-E04009799,watergall-parish-council,Watergall Parish Council,parish,,,,,ons,E04009799
ons-E04009802,weston-on-avon-parish-council,Weston-on-Avon Parish Council,parish,,,,,ons,E04009802
ons-E04009803,whatcote-parish-council,Whatcote Parish Council,parish,,,,,ons,E04009803
ons-E04009804,whichford-parish-council,Whichford Parish Council,parish,,,,,ons,E04009804
ons-E04009809,wormleighton-parish-council,Wormleighton Parish Council,parish,,,,,ons,E04009809
ons-E04009810,arrow-with-weethley-parish-council,Arrow with Weethley Parish Council,parish,,,,,ons,E04009810
ons-E04009811,clifford-chambers-and-milcote-parish-council,Clifford Chambers and Milcote Parish Council,parish,,,,,ons,E04009811
